Subject	Years	Strand	Substrand	CDCode	Content description	Elaboration
Digital technologies	Years 9 and 10	Processes and production skills	Investigating and defining	AC9TDI10P04	define and decompose real world problems with design criteria and by interviewing stakeholders to create user stories	asking questions that help them define the problem more precisely, for example "How do we measure energy intake?" or "How much energy does each exercise expend?"
Digital technologies	Years 9 and 10	Processes and production skills	Investigating and defining	AC9TDI10P04	define and decompose real world problems with design criteria and by interviewing stakeholders to create user stories	recognising the importance of diverse perspectives when defining the problem and devising survey or interview questions to elicit stakeholder needs, for example “What types of exercise count?” and allowing open-ended responses to the exercise they do
Digital technologies	Years 9 and 10	Processes and production skills	Investigating and defining	AC9TDI10P04	define and decompose real world problems with design criteria and by interviewing stakeholders to create user stories	exploring how First Nations Australian cultural stories and languages are being preserved with digital systems, for example how communities could record, animate and maintain their connections with culture and language in a contemporary format that resonates with young people to help ensure that vital practices continue
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P05	design algorithms involving logical operators and represent them as flowcharts and pseudocode	designing an algorithm or modifying an existing algorithm to fix, extend or improve it, for example fixing a bug in an algorithm to detect if 2 shapes intersect when the shapes just touch or extending the algorithm to support a new shape
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P05	design algorithms involving logical operators and represent them as flowcharts and pseudocode	describing algorithms using flowcharts or other appropriate diagram types, for example a decision tree for classifying an animal based on physical characteristics
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P05	design algorithms involving logical operators and represent them as flowcharts and pseudocode	describing algorithms precisely and succinctly using pseudocode, for example short, unambiguous statements such as IF length of word is greater than 4 AND first letter is a vowel
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P05	design algorithms involving logical operators and represent them as flowcharts and pseudocode	using Boolean operations (that is, AND, OR and NOT) to express complex conditions in control structures, for example IF [the temperature is above 30 degrees AND people are inside the building] THEN open the windows
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P06	validate algorithms and programs by comparing their output against a range of test cases	tracing and debugging an algorithm by identifying when its state is unexpected, why this has occurred, and the changes needed to correct it, for example identifying that a loop has finished one iteration too early
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P06	validate algorithms and programs by comparing their output against a range of test cases	determining boundary test cases and testing that they are handled correctly by a program, for example checking that an intersection is detected when 2 shapes are perfectly aligned
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P06	validate algorithms and programs by comparing their output against a range of test cases	generating invalid input and user errors and testing that they are handled appropriately by a program, for example checking that a program does not crash when text is entered instead of a number
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P07	design and prototype the user experience of a digital system	designing engaging user experiences, considering aesthetics, functionality and the feeling of enjoyment and satisfaction of the user
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P07	design and prototype the user experience of a digital system	prototyping a user experience, using simple graphical tools that support clicking on an image to change slides or views, for example using a presentation tool or a no-code user interface prototyping tool to design a simple mobile app
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P07	design and prototype the user experience of a digital system	considering all aspects of a product as perceived by the users, for example evaluating users’ initial experience of setting up and using a system, or users’ emotional or cultural response to using a digital system
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P07	design and prototype the user experience of a digital system	designing documentation, branding and marketing for a digital solution, for example a product demonstration screencast or ‘getting started’ user guide
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P08	generate, modify, communicate and critically evaluate alternative designs	eliminating design ideas by evaluating them against the design criteria and user stories, for example in consultation with stakeholders, reviewing the design ideas, making modifications if necessary, and further developing the design of the preferred solution
Digital technologies	Years 9 and 10	Processes and production skills	Generating and designing	AC9TDI10P08	generate, modify, communicate and critically evaluate alternative designs	using a range of ideation techniques to create multiple design ideas for a solution, for example using graphic organisers, role-play and mind mapping to develop and then record a range of ideas without evaluating them first
Digital technologies	Years 9 and 10	Processes and production skills	Producing and implementing	AC9TDI10P09	implement, modify and debug modular programs, applying selected algorithms and data structures, including in an object oriented programming language	writing and editing programs to solve problems using algorithms and data structures in general-purpose and object-oriented programming languages, such as Python, JavaScript or C#
Digital technologies	Years 9 and 10	Processes and production skills	Producing and implementing	AC9TDI10P09	implement, modify and debug modular programs, applying selected algorithms and data structures, including in an object oriented programming language	debugging a program by locating an error, modifying the program, and verifying that the changes made are correct, for example identifying the line in the code where an error occurs by reading an error message, printing out the variables to deduce what is causing the problem, and testing any fixes by entering data that could create similar errors
Digital technologies	Years 9 and 10	Processes and production skills	Producing and implementing	AC9TDI10P09	implement, modify and debug modular programs, applying selected algorithms and data structures, including in an object oriented programming language	reading and interpreting programs split across files, functions or classes, and modifying them to add functionality, for example using the codebase of an existing adventure game and building new characters, levels or abilities
Digital technologies	Years 9 and 10	Processes and production skills	Producing and implementing	AC9TDI10P09	implement, modify and debug modular programs, applying selected algorithms and data structures, including in an object oriented programming language	writing programs that receive structured data from the user that determines the program’s behaviour, for example processing a file that contains timestamped data captured by an altitude sensor from a plastic bottle rocket to graph its flight path
Digital technologies	Years 9 and 10	Processes and production skills	Producing and implementing	AC9TDI10P09	implement, modify and debug modular programs, applying selected algorithms and data structures, including in an object oriented programming language	applying simple data structures and algorithms appropriately in their programs, for example using an array to store temperature data for a month, a dictionary to store character information in a role-playing game (RPG), and the binary search function from a library to find a value in a sorted array
Digital technologies	Years 9 and 10	Processes and production skills	Producing and implementing	AC9TDI10P09	implement, modify and debug modular programs, applying selected algorithms and data structures, including in an object oriented programming language	defining their own classes to model and define the actions that can be performed on data in their programs, for example defining a class for a book that stores information such as the author, title and publisher, and methods that are used to track the book’s status in a library management system or store inventory
Digital technologies	Years 9 and 10	Processes and production skills	Producing and implementing	AC9TDI10P09	implement, modify and debug modular programs, applying selected algorithms and data structures, including in an object oriented programming language	selecting different types of data structures such as array, record and object to model structured data
Digital technologies	Years 9 and 10	Processes and production skills	Evaluating	AC9TDI10P10	evaluate existing and student solutions against the design criteria, user stories, possible future impact and opportunities for enterprise	evaluating how an existing solution detects violations of site rules and imposes sanctions as described in the Safety by Design Vision for Young People, for example enforcing rules using artificial intelligence and human moderators to detect inappropriate behaviour, and consistently imposing consequences
Digital technologies	Years 9 and 10	Processes and production skills	Evaluating	AC9TDI10P10	evaluate existing and student solutions against the design criteria, user stories, possible future impact and opportunities for enterprise	judging the quality of the output of their solution against the design criteria, for example confirming that the stock levels recorded by their inventory management application are accurate within allowed parameters
Digital technologies	Years 9 and 10	Processes and production skills	Evaluating	AC9TDI10P10	evaluate existing and student solutions against the design criteria, user stories, possible future impact and opportunities for enterprise	evaluating how existing products have pivoted to meet the needs of a different set of users, for example how new social media applications continue to expand the types of media people share and the interactions they have online
Digital technologies	Years 9 and 10	Processes and production skills	Collaborating and managing	AC9TDI10P11	select and use emerging digital tools and advanced features to create and communicate interactive content for a diverse audience	locating relevant content by using Boolean operators or artificial intelligence search features of search engines and desktop search, for example queries with ‘and’ and ‘not’ or advanced image similarity search
Digital technologies	Years 9 and 10	Processes and production skills	Collaborating and managing	AC9TDI10P11	select and use emerging digital tools and advanced features to create and communicate interactive content for a diverse audience	using emerging technologies to add dynamic features to content, for example using a QR code to trigger an augmented reality (AR) overlay of how to use a tool safely in the workshop
Digital technologies	Years 9 and 10	Processes and production skills	Collaborating and managing	AC9TDI10P11	select and use emerging digital tools and advanced features to create and communicate interactive content for a diverse audience	incorporating interactive elements into content to assist with analysis, for example adding sliders to visualisations to allow the user to control and view time series data
Digital technologies	Years 9 and 10	Processes and production skills	Collaborating and managing	AC9TDI10P11	select and use emerging digital tools and advanced features to create and communicate interactive content for a diverse audience	ensuring content is accessible by using built-in accessibility features, for example using ALT tags in images inside HTML to ensure screen readers can communicate content for people who are visually impaired
Digital technologies	Years 9 and 10	Processes and production skills	Collaborating and managing	AC9TDI10P12	use simple project management tools to plan and manage individual and collaborative agile projects, accounting for risks and responsibilities	managing collaborative projects using appropriate platforms, for example sharing code development using a collaborative version control tool such as GitHub to plan, decompose and manage a project with their peers
Digital technologies	Years 9 and 10	Processes and production skills	Collaborating and managing	AC9TDI10P12	use simple project management tools to plan and manage individual and collaborative agile projects, accounting for risks and responsibilities	establishing clear lines of responsibility and tasks for all members of a project team, for example assigning roles to all team members and using a spreadsheet to sequence tasks and track progress to ensure all work is completed by a specified deadline
Digital technologies	Years 9 and 10	Processes and production skills	Collaborating and managing	AC9TDI10P12	use simple project management tools to plan and manage individual and collaborative agile projects, accounting for risks and responsibilities	using relevant legislation or guidelines to inform their solutions, for example correctly controlling and treating data collected from users by applying techniques that ensure data protection, privacy and copyright requirements are followed
Digital technologies	Years 9 and 10	Processes and production skills	Collaborating and managing	AC9TDI10P12	use simple project management tools to plan and manage individual and collaborative agile projects, accounting for risks and responsibilities	planning the creation of content using project management tools to mitigate potential risks or project delays, for example incorporating project management techniques including scheduling, revision, iteration and evaluation into common collaboration tools to ensure timely delivery of effective solutions
Digital technologies	Years 9 and 10	Processes and production skills	Collaborating and managing	AC9TDI10P12	use simple project management tools to plan and manage individual and collaborative agile projects, accounting for risks and responsibilities	accounting for appropriate project management responsibilities, for example when collaborating with First Nations Australians’ community groups to develop digital solutions to projects: following cultural protocols, including relevant permissions and attributions; acknowledging diversity, capability and strength; and addressing risks and responsibilities such as privacy, security and accuracy of data
Digital technologies	Years 9 and 10	Processes and production skills	Privacy and security	AC9TDI10P13	develop cyber security threat models, and explore a software, user or software supply chain vulnerability	using a data flow diagram to understand how private information moves through a system and when it would be the most likely target of a cyber attack, for example mapping how data moves between the user and server when using a web application, and identifying that sending the data in plaintext would make it susceptible to a man-in-the-middle attack
Digital technologies	Years 9 and 10	Processes and production skills	Privacy and security	AC9TDI10P13	develop cyber security threat models, and explore a software, user or software supply chain vulnerability	exploring the impact of a cyber security threat by systematically following the steps involved in bypassing a known vulnerability in their own software, for example manually changing the value stored in a login cookie to that of another user to observe the impact of unauthorised access on the system
Digital technologies	Years 9 and 10	Processes and production skills	Privacy and security	AC9TDI10P14	apply the Australian Privacy Principles to critique and manage the digital footprint that existing systems and student solutions collect	critiquing the extent to which online services allow them to control access to their data in line with the Australian Privacy Principles, for example assessing whether their social media accounts allow them to update their contact information if these details change, and who else can see that information on the platform
Digital technologies	Years 9 and 10	Processes and production skills	Privacy and security	AC9TDI10P14	apply the Australian Privacy Principles to critique and manage the digital footprint that existing systems and student solutions collect	using the Australian Privacy Principles as a reference to evaluate the steps they are taking to protect user information in their application, for example explaining how they are storing passwords using cryptographic hashing algorithms so that a data breach does not expose their users to security vulnerabilities due to password re-use
Digital technologies	Years 7 and 8	Knowledge and understanding	Digital systems	AC9TDI8K01	explain how hardware specifications affect performance and select appropriate hardware for particular tasks and workloads	explaining how hardware specifications affect what, and how quickly, a digital system can perform tasks, for example how different bandwidth networks affect download speed and lag or how much random access memory (RAM) is needed for multimedia authoring
Digital technologies	Years 7 and 8	Knowledge and understanding	Digital systems	AC9TDI8K01	explain how hardware specifications affect performance and select appropriate hardware for particular tasks and workloads	selecting appropriate hardware for particular tasks, for example choosing a powerful graphics card for computer gaming or large external storage for video editing
Digital technologies	Years 7 and 8	Knowledge and understanding	Digital systems	AC9TDI8K01	explain how hardware specifications affect performance and select appropriate hardware for particular tasks and workloads	considering how First Nations Australians communities in areas classified as remote often share access to smartphone and internet services, and how the hardware specifications of these devices affect performance, for example where immediate and extended families share and access data through a single smartphone or device
Digital technologies	Years 7 and 8	Knowledge and understanding	Digital systems	AC9TDI8K02	investigate how data is transmitted and secured in wired and wireless networks including the internet	describing physical networks and comparing their properties, for example the bandwidth, latency and reliability of wired versus wireless networks
Digital technologies	Years 7 and 8	Knowledge and understanding	Digital systems	AC9TDI8K02	investigate how data is transmitted and secured in wired and wireless networks including the internet	explaining why cryptography is necessary for securing data, for example transmitting credit card details over the internet
Digital technologies	Years 7 and 8	Knowledge and understanding	Digital systems	AC9TDI8K02	investigate how data is transmitted and secured in wired and wireless networks including the internet	exploring simple encryption and decryption algorithms, for example ROT13 and XOR
Digital technologies	Years 7 and 8	Knowledge and understanding	Digital systems	AC9TDI8K02	investigate how data is transmitted and secured in wired and wireless networks including the internet	explaining how problems occur in network communication and how they can be solved, for example routers can drop packets and how Transmission Control Protocol (TCP) uses acknowledgements to confirm packets have been received
Digital technologies	Years 7 and 8	Knowledge and understanding	Data representation	AC9TDI8K03	investigate how digital systems represent text, image and audio data using integers	explaining how digital systems represent text as a sequence of individual characters numbered using the Unicode character set, for example upper-case and lower-case letters, punctuation and emoji
Digital technologies	Years 7 and 8	Knowledge and understanding	Data representation	AC9TDI8K03	investigate how digital systems represent text, image and audio data using integers	explaining how digital systems represent audio using whole numbers for the amplitude of the soundwave at a given sampling rate, for example -32,768 to 32,767 for 16-bit audio at 44,100 Hz
Digital technologies	Years 7 and 8	Knowledge and understanding	Data representation	AC9TDI8K03	investigate how digital systems represent text, image and audio data using integers	explaining how digital systems represent bitmap images (for example PNG and JPEG) as the colour of each pixel in separate red, green and blue (RGB) channels ranging from 0 to 255, and represent Scalable Vector graphics (SVG) using the geometry of lines and shapes
Digital technologies	Years 7 and 8	Knowledge and understanding	Data representation	AC9TDI8K03	investigate how digital systems represent text, image and audio data using integers	investigating how a digital system converts audio data to integers as it records, stores and outputs sound, for example using the Welcome to Country app to understand the local history and Traditional Owners of the lands which students learn on to inform the programming of an Acknowledgement of Country in a local First Nations Australian language
Digital technologies	Years 7 and 8	Knowledge and understanding	Data representation	AC9TDI8K04	explain how and why digital systems represent integers in binary	explaining how whole numbers can be represented in binary, for example counting in binary from 0 to 31, and recognising that one byte = 8 bits, which can represent from 0 to 255
Digital technologies	Years 7 and 8	Knowledge and understanding	Data representation	AC9TDI8K04	explain how and why digital systems represent integers in binary	explaining how digital systems represent data in binary, for example by converting a character to its Unicode value, then converting that value into binary
Digital technologies	Years 7 and 8	Knowledge and understanding	Data representation	AC9TDI8K04	explain how and why digital systems represent integers in binary	explaining how circuits can perform binary operations represented as on/off states, for example showing how circuits with 2 switches can represent AND or OR gates
Digital technologies	Years 7 and 8	Processes and production skills	Acquiring, managing and analysing data	AC9TDI8P01	acquire, store and validate data from a range of sources using software, including spreadsheets and databases	acquiring data to answer questions for their own investigations, for example answering "Does the canteen sell the right food?" by designing a survey to collect food preferences data and accessing canteen sales data
Digital technologies	Years 7 and 8	Processes and production skills	Acquiring, managing and analysing data	AC9TDI8P01	acquire, store and validate data from a range of sources using software, including spreadsheets and databases	judging how meaningful data is to a question, its correctness and how up to date the data is, for example "Does age affect the chance of cyclist injury?", "Are self-reported accidents reliable?" and "Is the data before cycleways existed relevant?"
Digital technologies	Years 7 and 8	Processes and production skills	Acquiring, managing and analysing data	AC9TDI8P01	acquire, store and validate data from a range of sources using software, including spreadsheets and databases	storing acquired data using specialised and general software appropriate for how it will be accessed and manipulated, for example a spreadsheet for visualisation or a pre-defined database for filtering and queries
Digital technologies	Years 7 and 8	Processes and production skills	Acquiring, managing and analysing data	AC9TDI8P01	acquire, store and validate data from a range of sources using software, including spreadsheets and databases	acquiring, storing and validating data from a reputable source, such as the Australian Bureau of Statistics, to analyse the geographic distribution of First Nations Australians, with the aim to highlight past and emerging trends
Digital technologies	Years 7 and 8	Processes and production skills	Acquiring, managing and analysing data	AC9TDI8P02	analyse and visualise data using a range of software, including spreadsheets and databases, to draw conclusions and make predictions by identifying trends	summarising data based on its attributes to identify trends and make predictions, for example sorting crime data by type of offence, showing that burglaries have decreased over time to predict fewer burglaries will happen next year
Digital technologies	Years 7 and 8	Processes and production skills	Acquiring, managing and analysing data	AC9TDI8P02	analyse and visualise data using a range of software, including spreadsheets and databases, to draw conclusions and make predictions by identifying trends	visualising multidimensional data by choosing appropriate graphs, for example a scatter plot of food prices and sales, coloured by each food’s sugar content, or diagrams such as a social network diagram and maps of crime rates by location to reveal trends, outliers or other information
Digital technologies	Years 7 and 8	Processes and production skills	Acquiring, managing and analysing data	AC9TDI8P03	model and query the attributes of objects and events using structured data	modelling objects and events as structured data, that is, the attributes relevant to the task, for example products in the canteen and the sale of those products, with attributes such as the product name, price, quantity and nutritional value
Digital technologies	Years 7 and 8	Processes and production skills	Acquiring, managing and analysing data	AC9TDI8P03	model and query the attributes of objects and events using structured data	using a spreadsheet table to model objects and events, including choosing appropriate formats for each column, and filtering and sorting rows to answer questions
Digital technologies	Years 7 and 8	Processes and production skills	Acquiring, managing and analysing data	AC9TDI8P03	model and query the attributes of objects and events using structured data	interpreting and querying single-table databases using visual or simple SQL queries with SELECT, WHERE and ORDER BY clauses, for example answering queries in a database for a historical event
Digital technologies	Years 7 and 8	Processes and production skills	Investigating and defining	AC9TDI8P04	define and decompose real world problems with design criteria and by creating user stories	framing a problem in terms of what we know, why it is important and the outcome we want, for example matching the items in your fridge to possible recipes to reduce food waste
Digital technologies	Years 7 and 8	Processes and production skills	Investigating and defining	AC9TDI8P04	define and decompose real world problems with design criteria and by creating user stories	asking a series of questions and sub-questions to understand the problem and breaking it down into manageable parts, for example “How do we keep track of what items are in the pantry? Are there any dietary requirements that need to be considered?”
Digital technologies	Years 7 and 8	Processes and production skills	Investigating and defining	AC9TDI8P04	define and decompose real world problems with design criteria and by creating user stories	using a template such as "As a <type of user>, I want <some goal> so that <some reason>", for example "As a user with a visual impairment I want to be able to get the news on my smartphone so that I can keep up with my world"
Digital technologies	Years 7 and 8	Processes and production skills	Investigating and defining	AC9TDI8P04	define and decompose real world problems with design criteria and by creating user stories	making predictions about future population distribution of First Nations Australians based on identified trends, for example analysing and visualising data using spreadsheets and databases on their population growth in metropolitan areas
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P05	design algorithms involving nested control structures and represent them using flowcharts and pseudocode	designing an algorithm or modifying an existing algorithm to fix an error or change functionality, for example calculating the coins and notes needed for an amount of money and changing the algorithm to handle new denominations
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P05	design algorithms involving nested control structures and represent them using flowcharts and pseudocode	describing algorithms precisely in pseudocode (structured English) or with flowcharts for each part of the problem, for example using separate flowcharts to describe the purchase of an item and the giving of change during the purchase
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P05	design algorithms involving nested control structures and represent them using flowcharts and pseudocode	describing algorithms with nested control structures, including a nested if, for example IF it is raining THEN [IF parents are home THEN drive to school]; or an IF inside a loop, for example REPEAT [select the largest coin smaller than the remaining total, and subtract it] UNTIL the remainder is zero
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P06	trace algorithms to predict output for a given input and to identify errors	following an algorithm precisely to confirm it produces the expected output for the given input, for example desk check with a table of input, variables and output
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P06	trace algorithms to predict output for a given input and to identify errors	specifying test cases and comparing the expected and actual output to determine the correctness of an algorithm, for example a test case of the change-calculating algorithm could have input $1.45 and expected output 1 x $1, 2 x 20c and 1 x 5c coins
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P06	trace algorithms to predict output for a given input and to identify errors	following instructions for making woven baskets or nets by hand, as done by First Nations Australians, and making predictions of how the instructions would need to be modified to enable the item to be produced through automated manufacturing processes
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P07	design the user experience of a digital system	designing a user interface or experience to satisfy design criteria and user stories, using digital tools, for example sketch multiple pages of a website with wireframes, storyboards and simple branding guidelines for colours and styling
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P07	design the user experience of a digital system	considering the factors of why a user might buy and use a product, in addition to its utility, for example how aligning the brand with the user’s values and identity contributes to its appeal
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P07	design the user experience of a digital system	exploring the evolution of a user interface, for example comparing the design and branding of different search engines over time
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P08	generate, modify, communicate and evaluate alternative designs	reviewing and modifying a preferred design as part of the iterative development approach, for example making changes to overcome limitations of the design or better satisfy the user stories
Digital technologies	Years 7 and 8	Processes and production skills	Generating and designing	AC9TDI8P08	generate, modify, communicate and evaluate alternative designs	using concept maps, wireframes or other diagrams to record and discuss the generated ideas, for example creating and discussing wireframes of a music streaming service, evaluating it against design criteria and user stories, such as the needs of diverse users
Digital technologies	Years 7 and 8	Processes and production skills	Producing and implementing	AC9TDI8P09	implement, modify and debug programs involving control structures and functions in a general purpose programming language	writing and editing programs to solve problems using branching, iteration, variables and functions in a general purpose programming language, such as Python, JavaScript or C#
Digital technologies	Years 7 and 8	Processes and production skills	Producing and implementing	AC9TDI8P09	implement, modify and debug programs involving control structures and functions in a general purpose programming language	reading and interpreting an existing program and modifying the code to change functionality and fix errors, for example taking existing code for a weather forecasting app that includes temperatures and improving the output to include extra information such as rainfall, UV levels and air quality
Digital technologies	Years 7 and 8	Processes and production skills	Producing and implementing	AC9TDI8P09	implement, modify and debug programs involving control structures and functions in a general purpose programming language	writing a program that receives data from the environment to change the program behaviour, for example reading moisture level data from a soil sensor and switching on the watering system
